anime_id,genre
665,Action
666,Action
667,Comedy
670,Drama
677,Drama
678,Action
679,Action
682,Comedy
683,Comedy
684,Fantasy
685,Drama
687,Romance
690,Action
691,Comedy
693,Action
694,Comedy
696,Comedy
704,Drama
706,Comedy
707,Comedy
708,Adventure
709,Action
710,Comedy
711,Drama
712,Adventure
713,Drama
714,Comedy
715,Comedy
718,Comedy
721,Drama
722,Comedy
723,Drama
729,Comedy
731,Adventure
732,Action
738,Action
743,Drama
744,Comedy
751,Action
754,Adventure
757,Adventure
758,Drama
759,Comedy
760,Action
761,Adventure
762,Action
763,Adventure
764,Adventure
769,Comedy
770,Drama
771,Drama
773,Adventure
776,Comedy
777,Action
779,Adventure
780,Adventure
781,Adventure
782,Drama
783,Comedy
785,Comedy
789,Drama
790,Mystery
791,Action
792,Adventure
793,Comedy
795,Drama
796,Adventure
797,Comedy
800,Sci-Fi
801,Mystery
807,Action
808,Action
810,Comedy
811,Comedy
812,Adventure
813,Action
814,Comedy
817,Comedy
818,Comedy
820,Drama
821,Action
822,Action
825,Adventure
831,Comedy
833,Comedy
834,Action
835,Drama
836,Comedy
837,Comedy
839,Action
840,Comedy
842,Action
844,Adventure
845,Action
846,Comedy
849,Comedy
850,Boys Love
851,Action
852,Comedy
853,Comedy
854,Action
855,Drama
856,Action
857,Sports
859,Adventure
860,Action
861,Comedy
863,Comedy
865,Adventure
866,Action
867,Adventure
868,Adventure
869,Adventure
870,Comedy
872,Adventure
873,Adventure
874,Adventure
875,Adventure
876,Action
877,Drama
878,Romance
879,Drama
880,Comedy
882,Action
883,Action
884,Action
885,Avant Garde
886,Comedy
890,Adventure
891,Action
892,Action
893,Action
894,Action
895,Action
896,Action
897,Action
898,Action
899,Action
900,Action
901,Action
902,Action
903,Action
905,Action
906,Action
908,Comedy
909,Adventure
910,Action
911,Adventure
913,Action
914,Comedy
915,Adventure
916,Action
918,Action
919,Drama
924,Adventure
925,Adventure
926,Adventure
927,Adventure
928,Adventure
929,Adventure
930,Drama
932,Comedy
934,Horror
935,Action
936,Action
940,Comedy
941,Comedy
942,Comedy
943,Drama
944,Action
949,Comedy
953,Action
956,Adventure
957,Adventure
958,Action
959,Adventure
960,Adventure
962,Sci-Fi
963,Drama
965,Comedy
966,Comedy
967,Action
968,Action
969,Action
970,Action
971,Action
973,Adventure
974,Action
975,Sci-Fi
976,Sci-Fi
978,Adventure
979,Action
980,Comedy
981,Comedy
984,Action
985,Adventure
986,Adventure
987,Action
990,Comedy
992,Comedy
993,Comedy
996,Adventure
997,Adventure
998,Action
999,Action
1000,Action
1001,Adventure
1002,Comedy
1003,Comedy
1005,Adventure
1006,Action
1007,Action
1008,Comedy
1010,Action
1011,Action
1013,Mystery
1014,Comedy
1016,Drama
1017,Action
1018,Adventure
1019,Action
1020,Action
1021,Drama
1022,Action
1023,Action
1024,Action
1025,Adventure
1029,Drama
1032,Adventure
1033,Action
1034,Action
1035,Adventure
1039,Drama
1040,Drama
1043,Action
1044,Adventure
1045,Adventure
1046,Adventure
1048,Horror
1049,Drama
1050,Adventure
1051,Adventure
1056,Comedy
1057,Action
1060,Comedy
1062,Action
1064,Adventure
1065,Drama
1067,Drama
1068,Adventure
1069,Adventure
1070,Comedy
1078,Comedy
1079,Mystery
1080,Action
1081,Action
1082,Comedy
1085,Adventure
1086,Adventure
1087,Comedy
1088,Romance
1089,Romance
1090,Adventure
1091,Drama
1092,Adventure
1093,Drama
1094,Action
1096,Drama
1101,Action
1103,Comedy
1104,Comedy
1107,Action
1108,Action
1109,Drama
1111,Adventure
1112,Adventure
1116,Drama
1117,Adventure
1118,Action
1119,Adventure
1120,Adventure
1121,Adventure
1122,Action
1123,Action
1124,Romance
1126,Sci-Fi
1127,Comedy
1128,Comedy
1129,Comedy
1130,Action
1132,Action
1133,Comedy
1135,Action
1136,Adventure
1137,Adventure
1138,Adventure
1140,Adventure
1141,Adventure
1142,Drama
1143,Adventure
1144,Drama
1145,Action
1146,Comedy
1147,Action
1149,Adventure
1151,Comedy
1152,Comedy
1153,Action
1157,Action
1158,Adventure
1159,Adventure
1161,Adventure
1163,Adventure
1164,Action
1165,Adventure
1166,Adventure
1168,Adventure
1169,Adventure
1170,Adventure
1171,Adventure
1172,Action
1174,Fantasy
1175,Comedy
1177,Horror
1179,Adventure
1180,Action
1181,Action
1182,Action
1184,Adventure
1185,Comedy
1186,Adventure
1187,Comedy
1189,Action
1191,Comedy
1192,Horror
1193,Comedy
1194,Adventure
1195,Action
1198,Comedy
1202,Action
1204,Drama
1205,Adventure
1207,Drama
1208,Adventure
1210,Comedy
1211,Adventure
1212,Adventure
1217,Boys Love
1218,Comedy
1219,Comedy
1222,Drama
1225,Action
1230,Adventure
1231,Adventure
1232,Comedy
1233,Action
1235,Comedy
1236,Adventure
1237,Action
1238,Action
1241,Drama
1243,Drama
1246,Action
1247,Adventure
1248,Drama
1249,Adventure
1250,Action
1251,Adventure
1253,Action
1254,Action
1255,Adventure
1256,Adventure
1257,Action
1258,Adventure
1259,Action
1260,Adventure
1261,Comedy
1262,Adventure
1264,Adventure
1265,Adventure
1266,Adventure
1276,Action
1277,Action
1278,Comedy
1279,Adventure
1280,Comedy
1281,Horror
1288,Comedy
1289,Comedy
1290,Mystery
1292,Action
1293,Comedy
1295,Action
1296,Comedy
1297,Comedy
1298,Comedy
1301,Adventure
1302,Adventure
1303,Action
1311,Comedy
1312,Adventure
1313,Action
1314,Action
1316,Fantasy
1325,Adventure
1327,Romance
1328,Comedy
1335,Comedy
1336,Action
1337,Comedy
1344,Action
1346,Adventure
1347,Adventure
1348,Adventure
1351,Action
1352,Action
1356,Action
1357,Action
1358,Action
1363,Adventure
1364,Adventure
1365,Adventure
1366,Adventure
1367,Adventure
1368,Comedy
1369,Adventure
1370,Avant Garde
1371,Adventure
1372,Action
1374,Action
1375,Comedy
1377,Drama
1379,Adventure
1380,Adventure
1381,Action
1382,Adventure
1384,Action
1391,Adventure
1392,Drama
1393,Drama
1394,Drama
1395,Drama
1396,Drama
1397,Adventure
1398,Adventure
1399,Comedy
1400,Adventure
1409,Sci-Fi
1412,Action
1413,Action
1414,Action
1415,Action
1416,Action
1417,Action
1418,Action
1419,Action
1420,Action
1421,Action
1422,Action
1423,Action
1424,Action
1425,Action
1426,Action
1428,Action
1429,Action
1430,Action
1431,Action
1432,Action
1433,Action
1434,Action
1435,Action
1436,Action
1437,Action
1438,Action
1439,Action
1441,Drama
1443,Action
1444,Adventure
1448,Adventure
1450,Adventure
1453,Comedy
1454,Action
1456,Action
1457,Drama
1458,Adventure
1459,Adventure
1460,Adventure
1462,Drama
1466,Adventure
1468,Action
1469,Action
1470,Action
1471,Action
1472,Action
1473,Action
1474,Action
1475,Action
1476,Action
1477,Action
1478,Adventure
1481,Action
1482,Action
1483,Adventure
1484,Action
1485,Comedy
1486,Comedy
1487,Adventure
1488,Action
1489,Comedy
1490,Action
1491,Adventure
1493,Action
1495,Drama
1497,Drama
1498,Action
1500,Comedy
1503,Adventure
1504,Drama
1505,Adventure
1506,Adventure
1508,Drama
1509,Adventure
1514,Comedy
1516,Comedy
1517,Action
1520,Drama
1521,Drama
1524,Slice of Life
1525,Action
1526,Action
1527,Adventure
1530,Drama
1531,Comedy
1532,Boys Love
1533,Comedy
1534,Action
1535,Supernatural
1536,Action
1537,Action
1538,Action
1539,Romance
1540,Romance
1542,Adventure
1543,Comedy
1546,Comedy
1547,Comedy
1548,Drama
1549,Adventure
1550,Drama
1553,Action
1554,Drama
1555,Comedy
1556,Horror
1557,Action
1559,Action
1563,Adventure
1564,Action
1565,Action
1566,Mystery
1567,Adventure
1568,Action
1569,Comedy
1570,Comedy
1571,Horror
1573,Action
1574,Adventure
1575,Drama
1576,Action
1577,Action
1578,Adventure
1581,Comedy
1582,Action
1584,Comedy
1588,Comedy
1589,Drama
1590,Action
1591,Comedy
1592,Comedy
1594,Horror
1598,Adventure
1599,Action
1600,Comedy
1601,Drama
1602,Drama
1604,Action
1606,Action
1607,Drama
1608,Action
1618,Action
1619,Comedy
1624,Drama
1629,Action
1637,Boys Love
1638,Adventure
1642,Comedy
1645,Action
1648,Comedy
1650,Action
1651,Action
1652,Action
1654,Comedy
1658,Action
1659,Comedy
1660,Action
1661,Action
1662,Drama
